,llave,cant_indiv,coef,ciudad_origen,tipo,edad_mediana,rango_edad,estrato,ingreso_hogar,rango_ingreso_hog,estado_civ,nivel_edu,viajo,interno,cuantos_int,depto_dest,mpio_dest,fecha_ini,fecha_fin,pernoct,motivo_int,alojamiento,med_transp,gasto_tot,motivo_no,gast_aloj,valgast_aloj,gast_public,valgast_public,gast_alim,gast_aereo,valgast_aereo,excursion,excur_extranj,excur_int,excur_motiv,excur_deptodest,excur_mpiodest,excur_medtransp,excur_valgasttransp,excur_valgastpublic,excur_valgastalim,nombre_mpio_dest,coord_origen,lat_origen,lon_origen,coord_dest,lat_dest,lon_dest
206,3000202_1,3,0.4580343423917943,Popayán,familia,18.0,15_20,2,1600000.0,1_2,familia,superior_bachiller,si,si,1,Cauca,19100.0,4/01/2019 0:00,8/01/2019 0:00,4.0,visita,,publico,500000.0,,no,,no,,si,no,,no,,,,,,,,,,BOLÍVAR,"-76.6062744,2.4420181",-76.6062744,2.4420181,"-76.9665816,1.8368156",-76.9665816,1.8368156
207,3000203_1,3,0.6272887088576958,Popayán,familia,24.0,20_25,2,900000.0,1_2,familia,superior_tecnico,si,si,1,Valle del Cauca,76001.0,28/12/2018 0:00,5/01/2019 0:00,8.0,vacaciones,,publico,500000.0,,no,,no,,si,no,,no,,,,,,,,,,CALI,"-76.6062744,2.4420181",-76.6062744,2.4420181,"-76.5324943,3.4517923",-76.5324943,3.4517923
217,3000211_1,2,0.35714285714285715,Popayán,familia,42.0,40_45,2,350000.0,0_1,familia,superior_tecnico,si,si,1,Valle del Cauca,76001.0,21/01/2019 0:00,25/01/2019 0:00,4.0,negocios,,particular,350000.0,,no,,si,20000.0,si,no,,no,,,,,,,,,,CALI,"-76.6062744,2.4420181",-76.6062744,2.4420181,"-76.5324943,3.4517923",-76.5324943,3.4517923
224,3000218_1,2,0.035294117647058816,Popayán,familia,42.0,40_45,2,1150000.0,1_2,familia,media_bachiller,si,si,2,Nariño,52565.0,5/01/2019 0:00,7/01/2019 0:00,2.0,visita,,otro,150000.0,,no,,no,,si,no,,no,,,,,,,,,,PROVIDENCIA,"-76.6062744,2.4420181",-76.6062744,2.4420181,"-76.9790945,1.4487948",-76.9790945,1.4487948
233,3000227_1,2,0.6190476190476191,Popayán,familia,42.0,40_45,1,300000.0,0_1,familia,primaria,si,si,1,Cauca,19130.0,14/12/2018 0:00,21/01/2019 0:00,38.0,visita,,publico,125000.0,,no,,no,,si,no,,no,,,,,,,,,,CAJIBÍO,"-76.6062744,2.4420181",-76.6062744,2.4420181,"-76.7165015826487,2.655067",-76.7165015826487,2.655067
238,3000232_1,4,0.5265262506414167,Popayán,familia,30.0,30_35,3,3000000.0,3_5,familia,superior_posgrado,si,si,1,Valle del Cauca,76001.0,5/01/2019 0:00,7/01/2019 0:00,2.0,visita,,particular,400000.0,,no,,no,,si,no,,no,,,,,,,,,,CALI,"-76.6062744,2.4420181",-76.6062744,2.4420181,"-76.5324943,3.4517923",-76.5324943,3.4517923
239,3000233_1,5,0.8120190884455858,Popayán,familia,7.0,0_10,3,4200000.0,5_,familia,superior_univerisitario,si,si,1,Risaralda,66001.0,3/01/2019 0:00,7/01/2019 0:00,4.0,vacaciones,,particular,50000.0,,no,,no,,si,no,,no,,,,,,,,,,PEREIRA,"-76.6062744,2.4420181",-76.6062744,2.4420181,"-75.6946451,4.8142912",-75.6946451,4.8142912
244,3000238_1,2,0.275,Popayán,familia,40.0,40_45,2,1600000.0,1_2,familia,superior_bachiller,si,si,2,Valle del Cauca,76001.0,12/01/2019 0:00,15/01/2019 0:00,3.0,visita,,publico,200000.0,,no,,si,40000.0,si,no,,no,,,,,,,,,,CALI,"-76.6062744,2.4420181",-76.6062744,2.4420181,"-76.5324943,3.4517923",-76.5324943,3.4517923
258,3000252_1,4,0.6735181029180899,Valledupar,familia,28.0,25_30,2,1700000.0,2_3,familia,superior_univerisitario,si,si,1,La Guajira,44001.0,2/01/2019 0:00,3/01/2019 0:00,1.0,visita,,particular,180000.0,,no,,no,,si,no,,no,,,,,,,,,,RIOHACHA,"-73.3757933882845,10.34311145",-73.3757933882845,10.34311145,"-72.9069784,11.544634",-72.9069784,11.544634
259,3000253_1,2,0.03225806451612903,Valledupar,familia,31.0,30_35,3,3000000.0,3_5,familia,superior_univerisitario,si,si,1,Bolívar,13001.0,29/12/2018 0:00,3/01/2019 0:00,5.0,visita,,particular,1000000.0,,no,,si,100000.0,si,no,,si,no,si,Vacaciones,20.0,20001.0,Terrestre particular,100000.0,,100000.0,CARTAGENA DE INDIAS,"-73.3757933882845,10.34311145",-73.3757933882845,10.34311145,"-75.4892945563004,10.4131792",-75.4892945563004,10.4131792
268,3000261_1,2,0.1020408163265306,Valledupar,familia,24.0,20_25,3,1800000.0,2_3,familia,superior_univerisitario,si,si,1,Magdalena,47189.0,31/12/2018 0:00,2/01/2019 0:00,2.0,visita,,publico,70000.0,,no,,no,,no,no,,no,,,,,,,,,,CIÉNAGA,"-73.3757933882845,10.34311145",-73.3757933882845,10.34311145,"-73.9538368494131,10.8567448",-73.9538368494131,10.8567448
